"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 07:01:42 CST 2024","Fri May 24 07:01:43 CST 2024","1110","scripts","test_demo_user_home","TestDemoUserHome","","","test_user_home",""
"passed","Fri May 24 07:01:43 CST 2024","Fri May 24 07:01:56 CST 2024","13555","scripts","test_demo_user_management","TestDemoUserManagement","","","test_demo_user_management[查询 张 性]",""
